Q1a:Are you generally satisfied with your overall experience of roads on the Ugandan road network?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,Region,,,,,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Road Type,,Respondent Gender,,Road Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Respondent Type,,,,,,,,,,,,Age bracket,,,,,,,,,,,,,,,
,,,1%,2%,1%,%,0%,%,3%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,1%,%,1%,0%,4%,0%,3%,0%,9%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,%,1%,1%,%,1%,1%,1%,%,0%,0%,0%,0%,,,,,,,,,,,,,,
,Maintenance/rehabilitation work has taken place,,442,85,161,82,48,66,37,88,42,31,2,9,9,6,12,11,1,5,2,2,6,5,7,9,9,18,8,9,15,9,24,11,18,13,5,14,5,221,221,413,29,4,5,12,5,12,5,9,7,10,4,7,17,13,10,20,19,11,15,13,6,14,9,14,9,6,4,2,4,5,8,18,3,9,9,5,7,9,5,3,2,3,2,4,1,6,1,5,6,4,3,5,6,8,6,6,9,6,5,2,5,102,62,72,72,62,72,77,131,81,77,59,15,2,0,,,,,,,,,,,,,,
,,,25%,24%,44%,22%,13%,20%,31%,28%,46%,55%,8%,31%,14%,22%,17%,9%,3%,18%,6%,7%,19%,21%,29%,27%,26%,56%,14%,26%,41%,35%,31%,19%,19%,18%,18%,26%,19%,24%,26%,25%,18%,15%,19%,40%,18%,35%,15%,28%,22%,30%,16%,23%,45%,57%,32%,63%,51%,46%,41%,46%,29%,40%,35%,41%,31%,22%,13%,8%,11%,15%,25%,56%,12%,26%,26%,17%,29%,27%,21%,8%,6%,13%,7%,11%,3%,19%,4%,18%,20%,11%,19%,24%,24%,29%,19%,18%,25%,16%,19%,17%,18%,32%,23%,24%,22%,21%,26%,24%,25%,23%,26%,28%,28%,10%,0%,,,,,,,,,,,,,,
,Good traffic management/Good Traffic Officers,,61,25,6,12,11,7,10,14,3,0,0,0,3,0,2,6,0,1,1,1,0,0,0,2,0,0,3,4,1,0,3,1,2,1,0,3,0,41,20,54,7,6,0,4,0,3,2,1,0,3,2,2,0,0,3,0,0,0,1,1,0,1,0,0,0,0,1,0,2,2,0,0,3,4,0,0,0,2,0,2,1,1,1,0,0,0,3,1,0,0,0,0,2,1,1,1,1,1,0,0,2,11,8,15,5,10,12,17,23,5,9,6,0,0,1,,,,,,,,,,,,,,
,,,3%,7%,2%,3%,3%,2%,8%,4%,3%,0%,0%,0%,5%,0%,3%,5%,0%,4%,3%,3%,0%,0%,0%,6%,0%,0%,5%,12%,3%,0%,4%,2%,2%,1%,0%,6%,0%,4%,2%,3%,4%,22%,0%,13%,0%,9%,6%,3%,0%,9%,8%,6%,0%,0%,10%,0%,0%,0%,3%,4%,0%,3%,0%,0%,0%,0%,3%,0%,5%,6%,0%,0%,12%,12%,0%,0%,0%,6%,0%,5%,3%,4%,3%,0%,0%,0%,11%,4%,0%,0%,0%,0%,8%,4%,3%,3%,3%,3%,0%,0%,7%,3%,3%,5%,2%,3%,4%,5%,4%,1%,3%,3%,0%,0%,100%,,,,,,,,,,,,,,
,Culverts have have been put,,5,0,0,2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,1,1,0,0,0,1,0,,,,,,,,,,,,,,
,,,%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,1%,0%,0%,0%,0%,3%,0%,4%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,4%,0%,0%,0%,0%,4%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,%,1%,1%,%,%,0%,0%,0%,5%,0%,,,,,,,,,,,,,,
,Roads widened/Expanded,,221,45,60,33,18,65,13,50,12,7,2,3,5,4,6,2,1,2,5,4,2,0,2,0,3,1,8,1,7,6,10,17,27,10,0,9,2,130,91,195,26,8,1,2,3,6,10,1,1,3,4,4,7,2,7,5,3,2,7,7,1,8,6,5,3,4,5,2,3,0,3,1,4,1,3,4,2,0,0,0,5,1,4,1,1,2,0,2,4,3,0,5,5,4,15,8,7,12,2,0,2,36,30,38,46,43,28,34,65,44,36,29,8,5,0,,,,,,,,,,,,,,
,,,12%,12%,16%,9%,5%,20%,11%,16%,13%,13%,8%,10%,8%,15%,9%,2%,3%,7%,15%,13%,6%,0%,8%,0%,9%,3%,14%,3%,19%,23%,13%,29%,28%,14%,0%,17%,7%,14%,11%,12%,16%,30%,4%,7%,11%,18%,29%,3%,3%,9%,16%,13%,18%,9%,23%,16%,8%,8%,19%,25%,5%,23%,23%,15%,10%,15%,17%,8%,8%,0%,9%,3%,15%,3%,9%,13%,8%,0%,0%,0%,15%,4%,13%,3%,3%,6%,0%,7%,13%,9%,0%,24%,20%,14%,47%,24%,19%,32%,7%,0%,7%,11%,11%,13%,14%,14%,10%,11%,12%,12%,12%,14%,15%,24%,0%,,,,,,,,,,,,,,
,Less dust on the roads,,25,3,5,3,10,4,1,4,0,0,0,0,1,0,1,7,1,0,0,0,1,1,0,0,0,0,1,0,2,1,0,0,1,2,0,0,1,11,14,21,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2,1,1,4,0,0,2,0,0,0,0,0,1,0,0,1,0,0,5,2,5,1,5,7,6,12,0,4,2,1,0,0,,,,,,,,,,,,,,
,,,1%,1%,1%,1%,3%,1%,1%,1%,0%,0%,0%,0%,2%,0%,1%,6%,3%,0%,0%,0%,3%,4%,0%,0%,0%,0%,2%,0%,5%,4%,0%,0%,1%,3%,0%,0%,4%,1%,2%,1%,2%,0%,4%,0%,0%,0%,0%,0%,0%,3%,4%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,3%,4%,3%,0%,0%,0%,0%,3%,3%,0%,0%,0%,0%,0%,3%,0%,0%,4%,0%,0%,4%,0%,6%,3%,3%,14%,0%,0%,6%,0%,0%,0%,0%,0%,3%,0%,0%,4%,0%,0%,2%,1%,2%,%,2%,2%,2%,2%,0%,1%,1%,2%,0%,0%,,,,,,,,,,,,,,
,Road reserves managed,,4,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,2,0,0,1,1,0,0,0,,,,,,,,,,,,,,
,,,%,1%,0%,0%,%,%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,%,%,%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,1%,0%,%,0%,0%,1%,0%,0%,%,%,0%,0%,0%,,,,,,,,,,,,,,
,Road signs have been put,,13,5,3,0,0,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,2,9,4,11,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,3,2,0,3,2,3,1,5,3,2,1,1,0,0,,,,,,,,,,,,,,
,,,1%,1%,1%,0%,0%,2%,1%,1%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,2%,0%,3%,0%,0%,7%,1%,%,1%,1%,7%,4%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,4%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,3%,7%,0%,4%,1%,1%,0%,1%,1%,1%,%,1%,1%,1%,%,2%,0%,0%,,,,,,,,,,,,,,
,humps have been put,,27,4,5,5,2,11,1,5,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,0,1,0,4,0,0,2,5,21,6,24,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,3,0,0,5,0,0,4,3,4,3,4,9,5,10,7,3,2,0,0,0,,,,,,,,,,,,,,
,,,2%,1%,1%,1%,1%,3%,1%,2%,0%,4%,0%,0%,2%,0%,0%,0%,0%,4%,0%,0%,3%,0%,0%,0%,0%,0%,5%,3%,0%,0%,1%,0%,4%,0%,0%,4%,19%,2%,1%,1%,2%,4%,4%,0%,0%,0%,0%,3%,0%,3%,0%,0%,3%,0%,0%,0%,0%,8%,0%,4%,0%,0%,0%,3%,0%,0%,3%,0%,0%,0%,0%,0%,0%,3%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,4%,0%,0%,0%,0%,4%,4%,3%,9%,0%,0%,19%,0%,0%,1%,1%,1%,1%,1%,3%,2%,2%,2%,1%,1%,0%,0%,0%,,,,,,,,,,,,,,
,Good security,,17,2,2,9,3,1,1,0,2,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,11,6,12,5,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,2,2,2,3,4,0,7,1,4,5,0,0,0,,,,,,,,,,,,,,
,,,1%,1%,1%,2%,1%,%,1%,0%,2%,0%,0%,3%,2%,0%,6%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,9%,0%,0%,1%,0%,1%,0%,0%,0%,0%,1%,1%,1%,3%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,3%,0%,3%,0%,9%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,6%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,4%,1%,1%,1%,1%,1%,1%,0%,1%,%,1%,2%,0%,0%,0%,,,,,,,,,,,,,,
,Bridges upgraded,,14,1,0,2,8,3,1,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,0,7,7,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,2,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,4,5,1,0,0,1,5,1,4,2,1,0,0,,,,,,,,,,,,,,
,,,1%,%,0%,1%,2%,1%,1%,0%,0%,0%,0%,3%,0%,0%,0%,5%,0%,0%,3%,0%,0%,0%,4%,0%,0%,0%,2%,0%,0%,0%,0%,2%,0%,0%,0%,4%,0%,1%,1%,1%,1%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,4%,0%,0%,8%,3%,9%,0%,0%,0%,0%,4%,0%,0%,0%,0%,5%,4%,4%,0%,0%,0%,0%,0%,0%,0%,1%,1%,2%,%,0%,0%,%,1%,%,1%,1%,2%,0%,0%,,,,,,,,,,,,,,
,Construction of drainage system/Improved drainage system,,45,15,7,6,9,8,3,10,1,1,0,2,1,1,0,7,1,0,1,0,0,0,0,0,0,2,0,0,2,0,5,2,1,0,0,4,1,19,26,43,2,1,4,2,1,1,1,0,0,1,0,2,0,0,0,1,1,0,2,1,2,0,0,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,3,0,2,1,0,1,0,0,0,0,0,2,2,0,1,0,2,1,0,2,5,8,4,10,4,14,15,10,9,8,1,1,1,0,,,,,,,,,,,,,,
,,,3%,4%,2%,2%,2%,2%,2%,3%,1%,2%,0%,7%,2%,4%,0%,6%,3%,0%,3%,0%,0%,0%,0%,0%,0%,6%,0%,0%,5%,0%,6%,3%,1%,0%,0%,8%,4%,2%,3%,3%,1%,4%,15%,7%,4%,3%,3%,0%,0%,3%,0%,6%,0%,0%,0%,3%,3%,0%,5%,4%,10%,0%,0%,0%,7%,4%,3%,0%,0%,0%,0%,6%,0%,0%,0%,0%,0%,0%,0%,3%,3%,13%,0%,6%,3%,0%,4%,0%,0%,0%,0%,0%,8%,7%,0%,3%,0%,5%,4%,0%,7%,2%,3%,1%,3%,1%,5%,5%,2%,3%,3%,%,2%,5%,0%,,,,,,,,,,,,,,
,Reduced accidents,,24,8,5,5,5,1,4,7,1,0,1,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,1,22,2,21,3,1,0,0,0,2,2,2,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,6,4,2,2,8,7,8,2,3,3,1,0,0,,,,,,,,,,,,,,
,,,1%,2%,1%,1%,1%,%,3%,2%,1%,0%,4%,0%,2%,0%,1%,3%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,4%,0%,0%,0%,1%,0%,0%,0%,0%,0%,4%,2%,%,1%,2%,4%,0%,0%,0%,6%,6%,6%,0%,3%,0%,0%,3%,0%,3%,0%,0%,0%,0%,4%,0%,6%,0%,0%,0%,0%,3%,4%,3%,0%,0%,0%,4%,0%,0%,3%,0%,3%,0%,3%,0%,0%,0%,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,1%,2%,1%,1%,1%,3%,2%,2%,1%,1%,1%,2%,0%,0%,,,,,,,,,,,,,,
,less congestion,,11,2,3,1,0,5,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,8,3,10,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,3,1,0,4,2,1,3,1,4,2,0,0,1,0,,,,,,,,,,,,,,
,,,1%,1%,1%,%,0%,2%,1%,1%,1%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,2%,3%,0%,0%,0%,1%,%,1%,1%,0%,0%,0%,0%,0%,3%,0%,0%,0%,4%,0%,3%,0%,3%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,3%,6%,3%,0%,0%,0%,1%,%,0%,1%,1%,%,1%,%,1%,1%,0%,0%,5%,0%,,,,,,,,,,,,,,
,Reduced sharp corners,,3,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,,,,,,,,,,,,,,
,,,%,0%,1%,0%,0%,%,0%,0%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,%,%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,3%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,0%,%,0%,0%,%,%,0%,%,0%,0%,0%,,,,,,,,,,,,,,
,23,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,%,0%,0%,0%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,%,0%,0%,0%,0%,%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
,More community sensitisation about roads and road reserves,,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,1,1,2,1,0,0,0,0,,,,,,,,,,,,,,
,,,%,%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,4%,0%,0%,3%,0%,0%,3%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,%,%,%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,3%,0%,0%,0%,0%,0%,3%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,4%,0%,1%,0%,1%,0%,%,%,%,1%,%,0%,0%,0%,0%,,,,,,,,,,,,,,
,Feeder roads constructed,,21,0,4,4,3,10,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,2,0,1,1,1,1,6,1,0,0,2,1,10,11,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,1,1,1,0,0,3,1,0,0,2,4,4,3,2,6,2,8,4,4,3,0,0,0,,,,,,,,,,,,,,
,,,1%,0%,1%,1%,1%,3%,0%,%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,4%,0%,3%,6%,0%,3%,3%,4%,1%,10%,1%,0%,0%,4%,4%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,5%,0%,4%,3%,0%,0%,0%,0%,0%,0%,0%,6%,0%,3%,3%,0%,4%,0%,0%,0%,0%,0%,0%,0%,0%,0%,7%,0%,0%,0%,0%,14%,4%,4%,3%,0%,0%,8%,4%,0%,0%,1%,1%,1%,1%,1%,2%,1%,2%,1%,1%,1%,0%,0%,0%,,,,,,,,,,,,,,
,Smoother road surface,,11,0,0,0,3,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,0,2,0,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,2,2,0,3,0,0,0,0,0,0,0,2,3,2,2,2,2,3,2,1,2,1,0,0,,,,,,,,,,,,,,
,,,1%,0%,0%,0%,1%,2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,0%,0%,0%,0%,0%,3%,4%,0%,0%,4%,0%,1%,%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,3%,0%,0%,10%,8%,0%,9%,0%,0%,0%,0%,0%,0%,0%,1%,1%,1%,1%,1%,1%,1%,1%,%,1%,2%,0%,0%,,,,,,,,,,,,,,
,None,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,,,,,,,,
